l1,l2,manufacturer,title,flavors,volumes,inferred_l1,inferred_l2,identity_company,identity_item,source_titles,pick
라면/면류,냉면·기타면,풀무원,탱탱쫄면,,123G,라면/면류|분식/만두/피자,냉면·기타면|기타분식,풀무원,탱탱쫄면,풀무원탱탱쫄면123G,풀무원|탱탱쫄면
라면/면류,봉지라면,농심,순한너구리,,120G,라면/면류,봉지라면,농심,순한너구리,농심순한너구리120G,농심|순한너구리120G
라면/면류,봉지라면,농심,신라면,,120G,라면/면류,봉지라면,농심,신라면,농심신라면120G,농심|농심신라면120G
라면/면류,봉지라면,농심,신라면블랙,,101G,라면/면류,봉지라면,농심,신라면블랙,농심)신라면블랙101G,농심|신라면블랙101G
라면/면류,봉지라면,농심,안성탕면,,125G,라면/면류|국/탕/찌개,봉지라면,농심,안성탕면,농심안성탕면125G,농심|농심안성탕면125G
라면/면류,봉지라면,농심,올리브짜파게티,,140G,라면/면류,봉지라면,농심,올리브짜파게티,농심올리브짜파게티140G,농심|올리브짜파게티
라면/면류,봉지라면,오뚜기,진라면 (봉지),매운맛,120G,라면/면류,봉지라면,오뚜기,진라면봉지,오뚜기진라면매운맛(봉지)120G,오뚜기|진라면매운맛(봉지)
라면/면류,봉지라면,팔도,김치도시락,,86G,라면/면류|반찬/간편식/대용식,간편식·도시락,팔도,김치도시락,팔도 김치도시락 86G,팔도|김치도시락
라면/면류,컵·용기면,오뚜기,진라면 컵,매운맛,110G,라면/면류,봉지라면,오뚜기,진라면컵,오뚜기 진라면매운맛컵 110G,오뚜기|진라면매운맛컵
라면/면류,컵·용기면,오뚜기,컵누들 팟타이쌀국수,,50G,라면/면류,컵·용기면|국수·당면·파스타,오뚜기,컵누들팟타이쌀국수,오뚜기 컵누들 팟타이쌀국수 50G,오뚜기|컵누들팟타이쌀국수
라면/면류,컵·용기면,오뚜기,컵누들김치쌀국수,,34.8G,라면/면류,컵·용기면|국수·당면·파스타,오뚜기,컵누들김치쌀국수,오뚜기)컵누들김치쌀국수34.8G,오뚜기|컵누들김치쌀국수
통조림/캔,농산·과일캔,Dole 코리아,후룻볼,트로피칼,4입|4개입,생수/음료,,돌코리아,후룻볼,Dole 후룻볼 트로피칼 4입 100%주스,Dole|후룻볼
통조림/캔,농산·과일캔,오뚜기,황도,,400G,통조림/캔|반찬/간편식/대용식,,오뚜기,황도,오뚜기황도,오뚜기|오뚜기황도
통조림/캔,참치·수산캔,동원F&B,참치,,200G,통조림/캔|반찬/간편식/대용식,,동원fb,참치,동원참치200G,동원|동원참치200G
통조림/캔,햄·고기캔,CJ제일제당,스팸,,200G,통조림/캔|반찬/간편식/대용식,햄·고기캔,씨제이,스팸,CJ스팸200G,CJ제일제당|CJ스팸200G
통조림/캔,햄·고기캔,동원F&B,리챔,오리지날,340G,통조림/캔|반찬/간편식/대용식,햄·고기캔,동원fb,리챔,동원)리챔오리지날,동원|리챔오리지날
통조림/캔,햄·고기캔,씨제이제일제당,스팸25%라이트,,340G,통조림/캔|반찬/간편식/대용식,햄·고기캔,씨제이,스팸25라이트,씨제이)스팸25%라이트,씨제이|스팸25%라이트
