제조사,정규화제품키,원본품목번호,분류후보,원본품목명,검토상태
코카콜라음료,코카파워에이드퍼플스톰,50080|70076,음료 > 차음료 > 전통차음료|음료 > 탄산음료 > 혼합탄산,코카파워에이드퍼플스톰1.5L|코카파워에이드퍼플스톰600ML,pending
코카콜라음료,코카환타오렌지,10052|10076|20016|40049|90012,음료 > 커피음료 > 커피음료|음료 > 탄산음료 > 혼합탄산,코카환타오렌지1.5L|코카환타오렌지185ML|코카환타오렌지215ML|코카환타오렌지250ML|코카환타오렌지600ML,pending
코카콜라음료,코카환타파인애플,10077|60037|70046,음료 > 과채음료 > 과일음료|음료 > 차음료 > 일반차음료|음료 > 탄산음료 > 혼합탄산,코카환타파인애플1.5L|코카환타파인애플250ML|코카환타파인애플600ML,pending
크라운제과,크라운그레이스,40181|65030,과자 > 비스킷 > 쿠키|과자 > 비스킷 > 크래커,크라운 그레이스(298G)|크라운그레이스85G,pending
크라운제과,크라운쵸코하임,25027|30057,과자 > 비스킷 > 쿠키|과자 > 스낵 > 밀가루스낵,크라운 쵸코하임 47G|크라운쵸코하임284G,pending
크라운제과,크라운하임,25051|35031|55032|60090,과자 > 비스킷 > 샌드|과자 > 비스킷 > 쿠키,크라운 초코하임 142G|크라운 초코하임 284G|크라운초코하임47G,pending
태광웰푸드,처음먹는칼슘츄러스,25244|35713|65202,과자 > 과자 > 쌀과자|유제품 > 치즈 > 체다치즈|유제품 > 치즈 > 크림치즈,태광웰푸드)처음먹는칼슘츄러스딸기|태광웰푸드)처음먹는칼슘츄러스치즈45.5G|태광웰푸드처음먹는칼슘츄러스치즈,pending
팔도,비락식혜,10129|50163|90113,음료 > 기능성음료 > 비타민/에너지음료|음료 > 차음료 > 전통차음료,팔도비락식혜1.8L|팔도비락식혜238ML|팔도비락식혜500ML,pending
프로엠,2오트밀스낵,35660|35723,과자 > 과자 > 쌀과자|과자 > 스낵 > 쌀스낵,프로엠2)오트밀딸기스낵,pending
하이트진로,하이트엑스트라콜드,20069|40034,음료 > 탄산음료 > 콜라|주류 > 맥주 > 국내맥주,하이트엑스트라콜드355ml|하이트엑스트라콜드500ML,pending
한국쉬즈라인,꿀광퍼프,15562|35490,이/미용 > 화장품 > 스펀지/퍼프|이/미용 > 화장품 > 스폰지/퍼프,한국쉬즈라인 꿀광퍼프 1개입|한국쉬즈라인)꿀광퍼프,pending
해태,갈배사이다,20093|40010,음료 > 커피음료 > 커피음료|음료 > 탄산음료 > 혼합탄산,해태갈배사이다1.5L|해태갈배사이다210ML,pending
해태,구운감자,25407|70093|80093|A10027,과자 > 비스킷 > 스틱과자|과자 > 스낵 > 스틱과자,해태 구운감자 162G|해태)구운감자|해태구운감자108G|해태구운감자27G,pending
해태,파인애플봉봉,40044|60059,음료 > 차음료 > 일반차음료|음료 > 탄산음료 > 혼합탄산,해태파인애플봉봉238ML|해태파인애플봉봉240ML,pending
해태에이치티비,해태갈아만든배,10137|40015|80055|80164,음료 > 과채음료 > 과일음료|음료 > 탄산음료 > 콜라|음료 > 탄산음료 > 혼합탄산,해태)갈아만든배1.5L|해태)갈아만든배1L|해태갈아만든배238ML|해태갈아만든배340ML,pending
해태에이치티비,해태강원평창수,20105|40058,음료 > 과채음료 > 과일음료|음료 > 생수 > 일반생수,해태강원평창수2L|해태강원평창수500ML,pending
해태에이치티비,해태코코팜포도,60072|80054,음료 > 과채음료 > 과일음료|음료 > 과채음료 > 채소음료,해태)코코팜포도1L|해태코코팜포도1.5L,pending
해태에이치티비,해태코코팜피치핑크복숭아,40078|80053,음료 > 과채음료 > 과일음료|음료 > 기능성음료 > 스포츠음료,해태)코코팜피치핑크복숭아1L|해태코코팜피치핑크복숭아1.5L,pending
헨켈코리아,헨켈홈케어코리아브레프파워액티브프로방스라벤더,15845|15848,생활용품 > 욕실용품 > 세정제|홈클린 > 욕실주거세제 > 세정제,헨켈홈케어코리아 브레프파워액티브프로방스라벤더50G|헨켈홈케어코리아 브레프파워액티브프로방스라벤더50G*2,pending
헬스밸런스,에퐁당현미퍼프,15057|25057,과자 > 스낵 > 쌀과자|상온HMR > 스낵 > 영유아과자,헬스밸런스 딸기에 퐁당 현미퍼프 20G|헬스밸런스 치즈에 퐁당 현미퍼프 20G,pending
현대내츄럴,현대미에로화이바,10136|40017|40053,음료 > 기능성음료 > 식이섬유음료|음료 > 차음료 > 일반차음료|음료 > 탄산음료 > 콜라,현대미에로화이바100ML|현대미에로화이바210ML|현대미에로화이바350ML,pending
홈플러스,시그니처콜라,25329|65374,음료 > 욕실주거세제 > 다목적주방세제|음료 > 탄산음료 > 혼합탄산,홈플러스시그니처 콜라 350ML|홈플러스시그니처콜라,pending
홈플러스,심플러스바른샘물,40051|60044,음료 > 커피음료 > 커피음료|음료 > 탄산음료 > 콜라,심플러스)바른샘물500ML|심플러스바른샘물300ML,pending
