원본품목번호,대분류,중분류,소분류,사유
35600,음료,생수,일반생수,농심 백산수 65703 및 제품 실체와 교차 검토
60048,음료,생수,일반생수,농심 백산수 65703 및 제품 실체와 교차 검토
